[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.861 DEBUG ] [4.0] old files: .minecraft/assets/objects/02/0252ca6b7a26ceeda651242010cf3a98a59b6e5f
[ 04-26 19:51:34.861 DEBUG ] [4.0] old files: .minecraft/assets/objects/02/02bd11acbb9717286afd8cd5e2042da90ed21998
[ 04-26 19:51:34.861 DEBUG ] [4.0] old files: .minecraft/assets/objects/02/02e04a1bba845ed4b3c0d006ebffc894c3588604
[ 04-26 19:51:34.861 DEBUG ] [4.0] old files: .minecraft/assets/objects/02/02e77c97360b82170ee58723ac2519fcd79b821e
[ 04-26 19:51:34.861 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03063be15a77cc3f6815ec98090e351178190b33
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/030a3d36cccac21197db2ec078f96cbc2caa1311
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/030a7bf5b32c5b3f821adb35b7601705a45d8420
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/03252f780f1e85ac6202567fca515f7afebc9cf0
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/032893949d88ab82fc1f69f9c4ea14d83d05387e
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/0331eec018c422631e6cb00960eea3e2c5c6e559
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/0349ce87fe856ddf8fdd94a559bb29061b002b6c
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/0350aeae0132a9a0b08532250861fbe2208d9f78
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/0350e909da2d06ff930e61307f019e029d7dff0f
[ 04-26 19:51:34.862 DEBUG ] [4.0] old files: .minecraft/assets/objects/03/035df7547acd8451e76b4f26fc01db3baeb6d006
